"YEAR","MONTH","DEP_NA","STATE_NA","SUP_NO","SUP_NA","GOO_NO","GOO_NA","QTY","TOTAL_SALES"
"2023","7","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","644","31647.65"
"2023","8","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","781","415472.05"
"2023","9","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","300","29610.48"
"2023","10","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","181","353801.80"
"2023","11","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","2947","59528.06"
"2023","12","Books and Media","Melaka","S36","Sci-Fi Stop","BM005","Science Fiction Book E","968","245937.31"
"2023","1","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","4996","469457.42"
"2023","2","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","3937","137073.40"
"2023","3","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","4326","180615.69"
"2023","4","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","4025","308694.83"
"2023","5","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","4724","490333.73"
"2023","6","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","4912","178993.43"
"2023","7","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","2680","488740.00"
"2023","8","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","517","200798.50"
"2023","9","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","709","38507.45"
"2023","10","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","1331","76364.48"
"2023","11","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","3868","366062.70"
"2023","12","Beauty and Personal Care","Selangor","S5","Beauty Bliss","BPC001","Cleanser A","1608","35237.78"
"2023","1","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","295","38919.34"
"2023","2","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","1199","47178.86"
"2023","3","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","1500","467708.09"
"2023","4","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","2935","449176.86"
"2023","5","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","3441","63326.41"
"2023","6","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","2376","344883.47"
"2023","7","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","1505","363753.04"
"2023","8","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","201","247577.36"
"2023","9","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","2608","98705.81"
"2023","10","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","1112","305419.02"
"2023","11","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","537","161726.34"
"2023","12","Beauty and Personal Care","Kuala Lumpur","S9","Conditioner Corner","BPC002","Conditioner B","138","423378.99"
"2023","1","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","1331","266227.48"
"2023","2","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","4066","314675.14"
"2023","3","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","4407","306690.40"
"2023","4","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","2563","324797.86"
"2023","5","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","2991","325633.88"
"2023","6","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","2064","192435.06"
"2023","7","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","4409","347545.21"
"2023","8","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","4377","135490.32"
"2023","9","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","949","373006.73"
"2023","10","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","1524","302999.68"
"2023","11","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","962","200444.62"
"2023","12","Beauty and Personal Care","Penang","S29","Mascara Magic","BPC003","Mascara C","786","26177.60"
"2023","1","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","767","219377.37"
"2023","2","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","1809","436837.10"
"2023","3","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","2609","125327.74"
"2023","4","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","3968","271458.72"
"2023","5","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","4593","443188.16"
"2023","6","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","3153","417525.90"
"2023","7","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","2604","146465.94"
"2023","8","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","1399","424720.53"
"2023","9","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","1845","78913.22"
"2023","10","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","4243","98740.34"
"2023","11","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","3159","17043.10"
"2023","12","Beauty and Personal Care","Johor","S46","Toothpaste Trends","BPC004","Toothpaste D","3476","340754.06"
"2023","1","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","4765","293204.43"
"2023","2","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","1769","245158.11"
"2023","3","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","4747","196568.49"
"2023","4","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","2190","377900.03"
"2023","5","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","4030","244037.20"
"2023","6","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","4573","20321.36"
"2023","7","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","4716","179695.11"
"2023","8","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","3743","227128.70"
"2023","9","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","1373","260547.94"
"2023","10","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","1723","74703.69"
"2023","11","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","2949","468883.66"
"2023","12","Beauty and Personal Care","Melaka","S45","Toner Time","BPC005","Toner E","99","135234.50"
"2023","1","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","3123","413407.12"
"2023","2","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","4753","215189.96"
"2023","3","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","2225","402588.06"
"2023","4","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","542","235865.19"
"2023","5","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","882","113139.09"
"2023","6","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","2413","395345.29"
"2023","7","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","1228","155389.19"
"2023","8","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","2202","368863.41"
"2023","9","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","2554","94761.49"
"2023","10","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","3383","331903.00"
"2023","11","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","4613","408257.19"
"2023","12","Clothing and Apparel","Selangor","S17","Fashion Frenzy","CL001","Jeans A","2626","96381.56"
"2023","1","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","2203","288372.79"
"2023","2","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","1315","248632.29"
"2023","3","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","4477","481379.48"
"2023","4","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","3582","65661.16"
"2023","5","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","3203","86074.01"
"2023","6","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","1129","6944.72"
"2023","7","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","4881","105657.25"
"2023","8","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","2246","442600.22"
"2023","9","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","1580","128318.69"
"2023","10","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","1698","389356.60"
"2023","11","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","459","444208.88"
"2023","12","Clothing and Apparel","Kuala Lumpur","S14","Dress Dreams","CL002","Dress B","4829","218270.01"
"2023","1","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","1605","196642.61"
"2023","2","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","2195","97590.59"
"2023","3","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","788","204131.26"
"2023","4","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","1362","110711.27"
"2023","5","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","3408","85952.78"
"2023","6","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","3327","328690.73"
"2023","7","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","839","57118.71"
"2023","8","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","4587","111408.88"
"2023","9","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","197","352308.97"
"2023","10","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","3262","451073.05"
"2023","11","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","3298","496271.82"
"2023","12","Clothing and Apparel","Penang","S41","Sneaker Street","CL003","Sneakers C","1342","302204.36"
"2023","1","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","1375","113094.72"
"2023","2","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","2031","232057.11"
"2023","3","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","391","66518.84"
"2023","4","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","983","351572.89"
"2023","5","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","2428","166541.89"
"2023","6","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","3285","132616.51"
"2023","7","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","4394","458622.80"
"2023","8","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","1273","214245.77"
"2023","9","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","1164","381586.81"
"2023","10","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","1251","92293.44"
"2023","11","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","192","153730.51"
"2023","12","Clothing and Apparel","Johor","S37","Shady Style","CL004","Sunglasses D","2106","356210.81"
"2023","1","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","2020","465546.76"
"2023","2","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","3528","367512.78"
"2023","3","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","4514","210201.46"
"2023","4","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","792","430728.66"
"2023","5","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","1877","74850.14"
"2023","6","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","1443","167011.38"
"2023","7","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","4531","136753.88"
"2023","8","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","2484","237001.22"
"2023","9","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","231","351006.15"
"2023","10","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","1394","93250.08"
"2023","11","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","945","264839.07"
"2023","12","Clothing and Apparel","Melaka","S38","Shorts Zone","CL005","Shorts E","1505","374439.96"
"2023","1","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","4129","131626.54"
"2023","2","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","3599","420883.68"
"2023","3","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","2469","485941.70"
"2023","4","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","1364","241649.22"
"2023","5","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","3013","353975.96"
"2023","6","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","3814","325053.55"
"2023","7","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","1935","389865.55"
"2023","8","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","2955","464041.36"
"2023","9","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","1674","477873.72"
"2023","10","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","2977","431076.10"
"2023","11","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","1656","16682.12"
"2023","12","Electronics","Selangor","S16","ElectroTech","EL001","Smartphone Model X","1725","305209.15"
"2023","1","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","3139","211782.78"
"2023","2","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","1757","7703.57"
"2023","3","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","686","46014.80"
"2023","4","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","3015","451201.86"
"2023","5","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","1243","99915.73"
"2023","6","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","4700","401458.98"
"2023","7","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","1417","78610.53"
"2023","8","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","2587","483565.67"
"2023","9","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","2375","485420.25"
"2023","10","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","471","164026.37"
"2023","11","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","2890","53019.04"
"2023","12","Electronics","Kuala Lumpur","S20","Gadget World","EL002","Smartwatch Model Y","4812","103871.69"
"2023","1","Electronics","Penang","S44","Tech Haven","EL003","Bluetooth Speaker Z","3267","164033.30"
"2023","2","Electronics","Penang","S44","Tech Haven","EL003","Bluetooth Speaker Z","2910","255869.81"
"2023","3","Electronics","Penang","S44","Tech Haven","EL003","Bluetooth Speaker Z","943","252251.90"
"2023","4","Electronics","Penang","S44","Tech Haven","EL003","Bluetooth Speaker Z","1023","41058.66"
"2023","5","Electronics","Penang","S44","Tech Haven","EL003","Bluetooth Speaker Z","2097","422652.81"
"2023","6","Electronics","Penang","S44","Tech Haven","EL003","Bluetooth Speaker Z","2093","37132.28"
"2023","7","Electronics","Penang","S44","Tech Haven","EL003","Bluetooth Speaker Z","1238","208458.02"
